date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2015-10-12,15.9,11.23,352622.0,000001.XSHE,31400.0,平安银行
2015-10-12,18.16,18.19,192814.0,600036.XSHG,10600.0,招商银行
2015-10-13,15.9,11.13,349482.0,000001.XSHE,31400.0,平安银行
2015-10-13,18.16,18.06,191436.0,600036.XSHG,10600.0,招商银行
2015-10-14,15.9,10.98,344772.0,000001.XSHE,31400.0,平安银行
2015-10-14,18.16,17.85,189210.0,600036.XSHG,10600.0,招商银行
2015-10-15,15.9,11.17,350738.0,000001.XSHE,31400.0,平安银行
2015-10-15,18.16,18.34,194404.0,600036.XSHG,10600.0,招商银行
2015-10-16,15.9,11.23,352622.0,000001.XSHE,31400.0,平安银行
2015-10-16,18.16,18.58,196948.0,600036.XSHG,10600.0,招商银行
2015-10-19,15.9,11.26,353564.0,000001.XSHE,31400.0,平安银行
2015-10-19,18.16,18.25,193450.0,600036.XSHG,10600.0,招商银行
2015-10-20,15.9,11.32,355448.0,000001.XSHE,31400.0,平安银行
2015-10-20,18.16,18.22,193132.0,600036.XSHG,10600.0,招商银行
2015-10-21,15.9,11.22,352308.0,000001.XSHE,31400.0,平安银行
2015-10-21,18.16,18.69,198114.0,600036.XSHG,10600.0,招商银行
2015-10-22,15.9,11.33,355762.0,000001.XSHE,31400.0,平安银行
2015-10-22,18.16,18.29,193874.0,600036.XSHG,10600.0,招商银行
2015-10-23,15.9,11.47,360158.0,000001.XSHE,31400.0,平安银行
2015-10-23,18.16,18.19,192814.0,600036.XSHG,10600.0,招商银行
2015-10-26,15.9,11.52,361728.0,000001.XSHE,31400.0,平安银行
2015-10-26,18.16,18.07,191542.0,600036.XSHG,10600.0,招商银行
2015-10-27,15.9,11.48,360472.0,000001.XSHE,31400.0,平安银行
2015-10-27,18.16,18.04,191224.0,600036.XSHG,10600.0,招商银行
2015-10-28,15.9,11.27,353878.0,000001.XSHE,31400.0,平安银行
2015-10-28,18.16,17.86,189316.0,600036.XSHG,10600.0,招商银行
2015-10-29,15.9,11.27,353878.0,000001.XSHE,31400.0,平安银行
2015-10-29,18.16,17.81,188786.0,600036.XSHG,10600.0,招商银行
2015-10-30,15.9,11.36,356704.0,000001.XSHE,31400.0,平安银行
2015-10-30,18.16,17.93,190058.0,600036.XSHG,10600.0,招商银行
2015-11-02,15.9,11.14,349796.0,000001.XSHE,31400.0,平安银行
2015-11-02,18.16,17.83,188998.0,600036.XSHG,10600.0,招商银行
2015-11-03,15.9,11.05,346970.0,000001.XSHE,31400.0,平安银行
2015-11-03,18.16,17.9,189740.0,600036.XSHG,10600.0,招商银行
2015-11-04,15.9,11.69,367066.0,000001.XSHE,31400.0,平安银行
2015-11-04,18.16,18.36,194616.0,600036.XSHG,10600.0,招商银行
2015-11-05,15.9,12.07,378998.0,000001.XSHE,31400.0,平安银行
2015-11-05,18.16,18.57,196842.0,600036.XSHG,10600.0,招商银行
2015-11-06,15.9,12.39,389046.0,000001.XSHE,31400.0,平安银行
2015-11-06,18.16,18.68,198008.0,600036.XSHG,10600.0,招商银行
2015-11-09,15.9,12.94,406316.0,000001.XSHE,31400.0,平安银行
2015-11-09,18.16,19.08,202248.0,600036.XSHG,10600.0,招商银行
2015-11-10,15.9,12.75,400350.0,000001.XSHE,31400.0,平安银行
2015-11-10,18.16,18.64,197584.0,600036.XSHG,10600.0,招商银行
2015-11-11,15.9,12.55,394070.0,000001.XSHE,31400.0,平安银行
2015-11-11,18.16,18.44,195464.0,600036.XSHG,10600.0,招商银行
2015-11-12,15.9,12.4,389360.0,000001.XSHE,31400.0,平安银行
2015-11-12,18.16,18.27,193662.0,600036.XSHG,10600.0,招商银行
2015-11-13,15.9,12.24,384336.0,000001.XSHE,31400.0,平安银行
2015-11-13,18.16,18.14,192284.0,600036.XSHG,10600.0,招商银行
2015-11-16,15.9,12.34,387476.0,000001.XSHE,31400.0,平安银行
2015-11-16,18.16,18.1,191860.0,600036.XSHG,10600.0,招商银行
2015-11-17,15.9,12.5,392500.0,000001.XSHE,31400.0,平安银行
2015-11-17,18.16,18.14,192284.0,600036.XSHG,10600.0,招商银行
2015-11-18,15.9,12.42,389988.0,000001.XSHE,31400.0,平安银行
2015-11-18,18.16,18.16,192496.0,600036.XSHG,10600.0,招商银行
2015-11-19,15.9,12.5,392500.0,000001.XSHE,31400.0,平安银行
2015-11-19,18.16,18.2,192920.0,600036.XSHG,10600.0,招商银行
2015-11-20,15.9,12.55,394070.0,000001.XSHE,31400.0,平安银行
2015-11-20,18.16,18.15,192390.0,600036.XSHG,10600.0,招商银行
2015-11-23,15.9,12.45,390930.0,000001.XSHE,31400.0,平安银行
2015-11-23,18.16,18.19,192814.0,600036.XSHG,10600.0,招商银行
2015-11-24,15.9,12.28,385592.0,000001.XSHE,31400.0,平安银行
2015-11-24,18.16,17.88,189528.0,600036.XSHG,10600.0,招商银行
2015-11-25,15.9,12.32,386848.0,000001.XSHE,31400.0,平安银行
2015-11-25,18.16,17.73,187938.0,600036.XSHG,10600.0,招商银行
2015-11-26,15.9,12.23,384022.0,000001.XSHE,31400.0,平安银行
2015-11-26,18.16,17.53,185818.0,600036.XSHG,10600.0,招商银行
2015-11-27,15.9,11.73,368322.0,000001.XSHE,31400.0,平安银行
2015-11-27,18.16,17.04,180624.0,600036.XSHG,10600.0,招商银行
2015-11-30,15.9,11.74,368636.0,000001.XSHE,31400.0,平安银行
2015-11-30,18.16,17.2,182320.0,600036.XSHG,10600.0,招商银行
2015-12-01,15.9,11.75,368950.0,000001.XSHE,31400.0,平安银行
2015-12-01,18.16,17.11,181366.0,600036.XSHG,10600.0,招商银行
2015-12-02,15.9,12.51,392814.0,000001.XSHE,31400.0,平安银行
2015-12-02,18.16,17.91,189846.0,600036.XSHG,10600.0,招商银行
2015-12-03,15.9,12.45,390930.0,000001.XSHE,31400.0,平安银行
2015-12-03,18.16,17.78,188468.0,600036.XSHG,10600.0,招商银行
2015-12-04,15.9,12.12,380568.0,000001.XSHE,31400.0,平安银行
2015-12-04,18.16,17.25,182850.0,600036.XSHG,10600.0,招商银行
2015-12-07,15.9,12.15,381510.0,000001.XSHE,31400.0,平安银行
2015-12-07,18.16,17.39,184334.0,600036.XSHG,10600.0,招商银行
2015-12-08,15.9,11.96,375544.0,000001.XSHE,31400.0,平安银行
2015-12-08,18.16,17.42,184652.0,600036.XSHG,10600.0,招商银行
2015-12-09,15.9,11.99,376486.0,000001.XSHE,31400.0,平安银行
2015-12-09,18.16,17.39,184334.0,600036.XSHG,10600.0,招商银行
2015-12-10,15.9,11.96,375544.0,000001.XSHE,31400.0,平安银行
2015-12-10,18.16,17.26,182956.0,600036.XSHG,10600.0,招商银行
2015-12-11,15.9,11.83,371462.0,000001.XSHE,31400.0,平安银行
2015-12-11,18.16,16.92,179352.0,600036.XSHG,10600.0,招商银行
2015-12-14,15.9,12.07,378998.0,000001.XSHE,31400.0,平安银行
2015-12-14,18.16,17.06,180836.0,600036.XSHG,10600.0,招商银行
2015-12-15,15.9,11.92,374288.0,000001.XSHE,31400.0,平安银行
2015-12-15,18.16,17.03,180518.0,600036.XSHG,10600.0,招商银行
2015-12-16,15.9,11.89,373346.0,000001.XSHE,31400.0,平安银行
